股票名, 代码, 时间戳, 上市时间
SH603358, 华达科技, 1485273600, 2017-01-25 00:00:00
SH603966, 法兰泰克, 1485273600, 2017-01-25 00:00:00
SZ002845, 同兴达, 1485273600, 2017-01-25 00:00:00
SH603429, 集友股份, 1485187200, 2017-01-24 00:00:00
SZ002839, 张家港行, 1485187200, 2017-01-24 00:00:00
SZ300597, 吉大通信, 1485100800, 2017-01-23 00:00:00
SH601881, 中国银河, 1485100800, 2017-01-23 00:00:00
SZ300598, 诚迈科技, 1484841600, 2017-01-20 00:00:00
SZ300599, 雄塑科技, 1485100800, 2017-01-23 00:00:00
SH603037, 凯众股份, 1484841600, 2017-01-20 00:00:00
SH603638, 艾迪精密, 1484841600, 2017-01-20 00:00:00
SZ002843, 泰嘉股份, 1484841600, 2017-01-20 00:00:00
SH603337, 杰克股份, 1484755200, 2017-01-19 00:00:00
SZ002841, 视源股份, 1484755200, 2017-01-19 00:00:00
SZ300592, 华凯创意, 1484841600, 2017-01-20 00:00:00
SH601858, 中国科传, 1484668800, 2017-01-18 00:00:00
SZ300595, 欧普康视, 1484582400, 2017-01-17 00:00:00
SZ300596, 利安隆, 1484755200, 2017-01-19 00:00:00
SH603165, 荣晟环保, 1484582400, 2017-01-17 00:00:00
SH603668, 天马科技, 1484582400, 2017-01-17 00:00:00
SZ002842, 翔鹭钨业, 1484755200, 2017-01-19 00:00:00
SH603038, 华立股份, 1484496000, 2017-01-16 00:00:00
SZ300589, 江龙船艇, 1484236800, 2017-01-13 00:00:00
SZ300593, 新雷能, 1484236800, 2017-01-13 00:00:00
SH603039, 泛微网络, 1484236800, 2017-01-13 00:00:00
SH603690, 至纯科技, 1484236800, 2017-01-13 00:00:00
SZ002824, 和胜股份, 1484150400, 2017-01-12 00:00:00
SH603639, 海利尔, 1484150400, 2017-01-12 00:00:00
SZ300580, 贝斯特, 1484064000, 2017-01-11 00:00:00
SZ300584, 海辰药业, 1484150400, 2017-01-12 00:00:00
SH603579, 荣泰健康, 1484064000, 2017-01-11 00:00:00
